Feature,Mean_SHAP
tp_anomaly,0.1728859119194331
longitude,0.005379973901818586
tp_mm_roll30_mean,0.005074692659439448
day_of_year,0.004929668529722101
month,0.0040542761527792605
sp_hpa,0.0038028931904550917
latitude,0.0030016730659280545
swvl1,0.0020295529136234425
tp_mm_lag1,0.0014541757388601654
wind_speed,0.001388830930149947
swvl1_lag1,0.0009959986333230703
tp_mm_roll7_mean,0.0009222025059710636
u10,0.0004423650972616959
t2m_celsius_lag1,5.4856051331337284e-05
tp_mm_lag30,4.513829054540233e-05
tp_mm_lag7,3.3649096339009255e-05
t2m_celsius,3.18998141196477e-05
v10,1.659286342806899e-05
